"","C_1","C_2","C_3","C_4","C_5","C_6","C_7","C_8","C_9","C_10","C_11","C_12","C_13","C_14","C_15","C_16","C_17","C_18","C_19","C_20","C_21","C_22","C_23","C_24","C_25","C_26","C_27","C_28","C_29","C_30","C_31","C_32","C_33","C_34","C_35","C_36","C_37","C_38","C_39","C_40","C_41","C_42","C_43","C_44","C_45","C_46","C_47","C_48","C_49","C_50","C_51","C_52","C_53","C_54","C_55","C_56","C_57","C_58","C_59","C_60","C_61","C_62","C_63","C_64","C_65","C_66","C_67","C_68","C_69","C_70","C_71","C_72","C_73","C_74","C_75","C_76","C_77","C_78","C_79","C_80","C_81","C_82","C_83","C_84","C_85","C_86","C_87","C_88","C_89","C_90","C_91","C_92","C_93","C_94","C_95","C_96","C_97","C_98","C_99","C_100","C_101","C_102","C_103","C_104","C_105","C_106","C_107","C_108","C_109","C_110","C_111","C_112","C_113","C_114","C_115","C_116","C_117","C_118","C_119","C_120","C_121","C_122","C_123","C_124","C_125","C_126","C_127","C_128","C_129","C_130","C_131","C_132","C_133","C_134","C_135","C_136","C_137","C_138","C_139","C_140","C_141","C_142","C_143","C_144","C_145","C_146","C_147","C_148","C_149","C_150","C_151","C_152","C_153","C_154","C_155","C_156","C_157","C_158","C_159","C_160","C_161","C_162","C_163","C_164","C_165","C_166","C_167","C_168","C_169","C_170","C_171","C_172","C_173","C_174","C_175","C_176","C_177","C_178","C_179","C_180","C_181","C_182","C_183","C_184","C_185","C_186","C_187","C_188","C_189","C_190","C_191","C_192","C_193","C_194","C_195","C_196","C_197","C_198","C_199","C_200","C_201","C_202","C_203","C_204","C_205","C_206","C_207","C_208","C_209","C_210","C_211","C_212","C_213","C_214","C_215","C_216","C_217","C_218","C_219","C_220","C_221","C_222","C_223","C_224","C_225","C_226","C_227","C_228","C_229","C_230","C_231","C_232","C_233","C_234","C_235","C_236","C_237","C_238","C_239","C_240","C_241","C_242","C_243","C_244","C_245","C_246","C_247","C_248","C_249","C_250","C_251","C_252","C_253","C_254","C_255","C_256","C_257","C_258","C_259","C_260","C_261","C_262","C_263","C_264","C_265","C_266","C_267","C_268","C_269","C_270","C_271","C_272","C_273","C_274","C_275","C_276","C_277","C_278","C_279","C_280","C_281","C_282","C_283","C_284","C_285","C_286","C_287","C_288","C_289","C_290","C_291","C_292","C_293","C_294","C_295","C_296","C_297","C_298","C_299","C_300","C_301","C_302","C_303","C_304","C_305","C_306","C_307","C_308","C_309","C_310","C_311","C_312","C_313","C_314","C_315","C_316","C_317","C_318","C_319","C_320","C_321","C_322","C_323","C_324","C_325","C_326","C_327","C_328","C_329","C_330","C_331","C_332","C_333","C_334","C_335","C_336","C_337","C_338","C_339","C_340","C_341","C_342","C_343","C_344","C_345","C_346","C_347","C_348","C_349","C_350","C_351","C_352","C_353","C_354","C_355","C_356","C_357","C_358","C_359","C_360","C_361","C_362","C_363","C_364","C_365","C_366","C_367","C_368","C_369","C_370","C_371","C_372","C_373","C_374","C_375","C_376","C_377","C_378","C_379","C_380","C_381","C_382","C_383","C_384","C_385","C_386","C_387","C_388","C_389","C_390","C_391","C_392","C_393","C_394","C_395","C_396","C_397","C_398","C_399","C_400","C_401","C_402","C_403","C_404","C_405","C_406","C_407","C_408"
"Hmgcs2",1228,0,1,0,0,0,0,0,0,3,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,1145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,249,0,0,0,2,273,0,1,0,1,0,0,1622,572,0,0,0,0,78,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1915,0,0,0,0,1,0,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3487,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,346,2,0,0,1,0,0,0,2,0,854,0,0,0,0,0,0,0,863,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,94,0,0,0,0,0,0,0,0,1,0,2,0,719,0,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,5,0,98,0,0,7,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,791,1,0,0,0,0,0,0,1,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,1235,0
"Atp6v0e2",0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,774,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1858,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1345,0,1,0,3,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,310,0,0,0,0,0,90,0,0,0,0,0,1,0,0,190,0,0,0,0,0,0,0
"Ccnb2",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3926,0,0,889,0,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angptl7",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lat",0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2133,0,0,459,0,0,0,329,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,20,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269,2,20,0,0,1343,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,206,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,219,0,0,0,15,0,1,0,0,0,0,3,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,112,0,0,0,0,65,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ramp1",0,0,0,0,0,0,0,0,1895,0,0,0,0,0,1,0,0,1072,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1169,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,450,145,0,0,0,21,0,0,2297,163,0,0,0,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,794,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,404,0,0,0,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,66,1,0,0,0,1,0,0,186,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,14,0,0,0,840,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,242,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,301,128,0,0,0,0,0,864,13,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,98,0,0,0,0,0,8784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,283,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Svep1",10,0,52,1,0,0,0,0,1,1,0,0,0,1048,0,0,0,0,0,0,0,0,0,0,0,1112,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,104,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,368,0,0,0,0,0,0,515,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,2,0,0,988,0,0,0,703,0,0,0,326,0,0,1,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,131,0,0,0,4,0,2139,0,0,0,0,0,0,0,1078,0,0,0,0,0,41,0,0,5025,0,0,0,0,112,0,0,231,0,0,0,0,1,0,0,0,0,0,1,0,935,0,134,0,0,0,0,1,0,0,989,0,0,64,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3063,0,0,0,0,1,1,329,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,187,0,0,0,0,0,0,0,20,219,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,741,183,0,418,0,0,0,0,0,0,323,0,0,0,0,0,2,0
"Sod3",1048,0,237,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,1,0,0,3,4606,1,0,0,15,0,0,0,400,0,0,0,0,1575,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2333,0,0,0,5566,0,0,0,0,0,0,0,51,0,0,0,2534,0,0,0,1,2,0,0,0,1552,0,0,5,0,0,0,20,981,0,0,0,1919,0,0,1509,3434,0,0,0,0,892,0,0,0,0,0,0,0,0,0,1755,0,0,0,0,1185,0,0,0,0,0,0,705,0,656,0,110,0,0,0,10799,0,1,0,2390,0,0,0,0,0,0,93,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2073,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5015,0,52,0,0,0,3,0,993,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,2492,2132,1,0,0,0,342,0,0,128,1,0,0,0,0,0,1,168,0,0,0,1639,453,0,1192,0,0,0,0,0,0,0,4865,0,0,0,0,0,0,0,0,59,1,919,0,1,97,0,0,0,0,0,26,0,0,0,0,19,0,0,0,1,0,0,0,2483,0,0,0,0,0,0,620,0,0,10,0,0,0,0,0,0,0,0,0,240,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,913,0,0,233,642,0,0,0,581,0,0,943,0,0,0,0,0,0,0,0,0,498,0,0,0,83,0,131,0,0,0,0,5682,0,0,4528,0,0,0,0,0,518,0,0,0,417,0,818,0,0,0,0,2,0,685,202,0,407,0,0,0,115,0,0,0,0,0,0,0,0,310,0
"Lman2l",6,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,1564,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,542,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,1,0,0,1140,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,277,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,2972,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,65,0,0,3,0,0,0,0,0,0
"Samsn1",0,828,0,0,0,464,0,0,905,0,0,1,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,1298,1,0,0,0,0,0,3,0,0,0,1,0,0,1078,0,0,6,0,0,0,0,0,380,0,0,0,308,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,975,0,0,0,0,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2762,16,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,4,1,0,0,118,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,48,0,0,1546,0,0,0,222,0,0,1,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,398,0,0,0,0,0,0,2,29,0,0,0,0,23,0,0,25,0,0,1,15,0,0,0,0,0,0,0,0,15,0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,1548,0,0,679,0,0,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1366,0,0,2001,19,0,0,0,0,0,0,0,1,0,28,0,0,0,206,0,0,0,0,0,1483,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc25a29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1601,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,729,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,503,0,0,1,1,60,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,378,0,78,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,70,0,0,1116,0,26,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,62,0,0,0,2163,0,0,403,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,28,0,0,18,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,301,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
